1,ałłaagani,last year,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
2,ałłaagun,next year,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
3,ałłagiaŋa-,to be different than expected,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
4,aġaqaraun,flashlight,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
5,aŋayuġaaq-,to grow old (of a man),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
6,aŋayuġaksraq,old man,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
7,aŋayuliq,oldest child,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
8,aŋayułiq,"first born, oldest child",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
9,aŋeq-,say 'yes',Aŋeqtuq.,She says 'yes'.,Aŋeġaa.,He says yes to him.,,,Diomede Wordlist,,,,,,,,,,,,,,,
10,aġġi-,"dance, hold a dance",Aġġerut.,They(3+) dance.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
11,aŋi-,"be revived, resurrected, come back to life",Aŋeruq.,S,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
12,aġi-,to kick (a ball),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
13,aġiaġuq,stomach,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
14,aŋma-,to be open,Aŋmaruq.,It is open. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
15,"aġnaġaat, aġnagatet",maternaal parallel cousins,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
16,aġnaġauq-?,to grow old (of a woman),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
17,aġnaġuksraq,old woman,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
18,aġnaq,"woman, female animal or human; mother",aġnaat,their mother',,,,,Diomede Wordlist,,,,,,,,,,,,,,,
19,aġnauraq,girl,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
20,aġneliruaq,whale which is floating after spouting,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
21,aġuġuaq-,"to break, collide on the sea (of waves)",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
22,aġui-,to walk,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
23,aŋun,young man,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
24,aŋuniaq-,to hunt,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
25,aŋuteġati,"paternal parallel cousin, child of one's father's brother",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
26,"aŋuteġaat, aŋuteġatet",paternal parallel cousins,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
